City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,gazli,40.1333,63.45,5.56,39,100,8.19,UZ,1701927891
116,okhotsk,59.3833,143.3,-14.79,97,100,5.05,RU,1701927892
117,kursk,51.7303,36.1939,-7.89,85,0,6.0,RU,1701927893
118,ban dung,17.699,103.2596,28.33,38,42,3.18,TH,1701927894
119,san julian,21.0167,-102.1667,11.49,88,100,3.49,MX,1701927895
120,al mindak,20.1588,41.2834,13.78,23,37,1.39,SA,1701927896
121,lukow,51.929,22.3796,-1.15,95,100,5.94,PL,1701927896
122,el bauga,18.262,33.9081,23.11,31,9,5.33,SD,1701927897
123,sechura,-5.5569,-80.8222,19.07,90,55,4.29,PE,1701927898
124,aasiaat,68.7098,-52.8699,-5.38,82,75,7.35,GL,1701927899
125,sinabang,2.4803,96.3801,25.78,88,100,1.46,ID,1701927900
126,laguna,38.421,-121.4238,12.88,92,0,4.12,US,1701927901
127,longyearbyen,78.2186,15.6401,-5.09,63,20,10.29,SJ,1701927901
128,georgetown,5.4112,100.3354,31.97,62,20,4.63,MY,1701927902
129,al muwayh,22.4333,41.7583,21.03,24,77,4.81,SA,1701927903
130,happy valley-goose bay,53.3168,-60.3315,-6.83,68,100,5.66,CA,1701927904
131,jinchang,38.4953,102.1739,11.9,11,0,1.6,CN,1701927905
132,aykhal,66.0,111.5,-24.83,99,100,1.39,RU,1701927906
133,punta arenas,-53.15,-70.9167,7.06,81,0,9.26,CL,1701927907
134,cuajinicuilapa,16.4667,-98.4167,24.67,85,100,1.11,MX,1701927908
135,flin flon,54.7682,-101.865,-6.41,96,89,1.92,CA,1701927909
136,reyes,-14.3167,-67.3833,22.18,96,85,0.47,BO,1701927909
137,sao joao da barra,-21.6403,-41.0511,23.7,90,30,7.48,BR,1701927910
138,namibe,-15.1961,12.1522,23.78,85,100,1.56,AO,1701927911
139,west island,-12.1568,96.8225,28.99,74,75,6.17,CC,1701927912
140,ha'il,27.5219,41.6907,13.01,47,0,1.03,SA,1701927913
141,blackmans bay,-43.0167,147.3167,23.07,57,100,0.45,AU,1701927914
142,nemuro,43.3236,145.575,8.61,93,100,14.71,JP,1701927915
143,kavieng,-2.5744,150.7967,28.53,75,97,3.99,PG,1701927915
144,tolanaro,-25.0319,46.9987,27.04,65,75,6.69,MG,1701927916
145,weno,7.4515,151.8468,25.97,100,100,2.57,FM,1701927917
146,lihue,21.9789,-159.3672,23.77,85,20,5.14,US,1701927918
147,dongola,19.1667,30.4833,17.79,30,3,5.42,SD,1701927919
148,grand falls-windsor,48.9332,-55.6649,-9.44,97,30,1.42,CA,1701927920
149,luderitz,-26.6481,15.1594,18.69,70,27,4.52,NA,1701927921
150,nar'yan-mar,67.6713,53.087,-14.83,97,100,2.91,RU,1701927921
151,badger,64.8,-147.5333,-14.86,86,100,1.54,US,1701927922
152,san luis de la loma,17.2706,-100.8939,25.03,78,97,1.87,MX,1701927923
153,mount gambier,-37.8333,140.7667,22.95,36,42,3.62,AU,1701927924
154,fort bragg,35.139,-79.006,4.34,65,0,3.09,US,1701927925
155,ust'-uda,54.1742,103.0304,-17.36,86,100,5.1,RU,1701927925
156,taitung city,22.7583,121.1444,22.15,60,75,3.6,TW,1701927926
157,yaren,-0.5472,166.916,26.62,90,100,8.08,NR,1701927927
158,tutoia,-2.7619,-42.2744,27.68,74,100,6.89,BR,1701927928
159,markala,13.7021,-6.0659,22.05,18,0,3.65,ML,1701927929
160,chamical,-30.36,-66.314,20.7,79,28,1.82,AR,1701927929
161,udachny,66.4167,112.4,-25.46,99,100,0.67,RU,1701927930
162,lebu,-37.6167,-73.65,12.49,90,0,9.01,CL,1701927931
163,isafjordur,66.0755,-23.124,-2.43,79,30,3.68,IS,1701927932
164,qarazhal,48.0078,70.7903,-7.95,58,25,3.02,KZ,1701927933
165,tazovsky,67.4667,78.7,-20.88,96,100,6.92,RU,1701927934
166,utrik,11.2278,169.8474,27.42,81,74,10.54,MH,1701927934
167,vorgashor,67.5833,63.95,-27.21,98,84,1.71,RU,1701927935
168,nogliki,51.8333,143.1667,-0.37,88,100,0.89,RU,1701927936
169,brady,31.1352,-99.3351,11.96,62,0,2.57,US,1701927937
170,charters towers,-20.1,146.2667,34.33,27,2,6.59,AU,1701927932
171,fale old settlement,-9.3852,-171.2468,29.48,74,55,3.08,TK,1701927939
172,eydhafushi,5.1033,73.0708,28.41,78,100,5.76,MV,1701927940
173,illizi,26.4833,8.4667,9.89,29,0,1.03,DZ,1701927941
174,stanthorpe,-28.6667,151.95,32.46,34,19,4.27,AU,1701927942
175,al faw,29.9776,48.4741,14.0,37,0,1.66,IQ,1701927943
176,suntar,62.1444,117.6319,-41.83,98,58,0.88,RU,1701927944
177,talnakh,69.4865,88.3972,-27.11,100,100,3.01,RU,1701927945
178,ventspils,57.3894,21.5606,-5.04,93,75,3.09,LV,1701927946
179,akureyri,65.6835,-18.0878,-16.04,92,14,1.54,IS,1701927947
